n:1 mse_avg:14.30 mse_y:23.33 mse_u:5.31 mse_v:5.24 psnr_avg:48.64 psnr_y:46.52 psnr_u:52.94 psnr_v:53.01 
n:2 mse_avg:12.09 mse_y:20.81 mse_u:3.44 mse_v:3.32 psnr_avg:49.37 psnr_y:47.01 psnr_u:54.84 psnr_v:54.98 
n:3 mse_avg:13.47 mse_y:22.94 mse_u:4.02 mse_v:3.97 psnr_avg:48.90 psnr_y:46.59 psnr_u:54.16 psnr_v:54.21 
n:4 mse_avg:13.45 mse_y:22.79 mse_u:4.11 mse_v:4.11 psnr_avg:48.91 psnr_y:46.62 psnr_u:54.05 psnr_v:54.05 
n:5 mse_avg:15.24 mse_y:25.57 mse_u:4.91 mse_v:4.92 psnr_avg:48.37 psnr_y:46.12 psnr_u:53.28 psnr_v:53.28 
n:6 mse_avg:13.04 mse_y:22.71 mse_u:3.37 mse_v:3.39 psnr_avg:49.04 psnr_y:46.64 psnr_u:54.92 psnr_v:54.90 
n:7 mse_avg:13.40 mse_y:23.41 mse_u:3.39 mse_v:3.41 psnr_avg:48.93 psnr_y:46.50 psnr_u:54.89 psnr_v:54.88 
n:8 mse_avg:13.11 mse_y:22.71 mse_u:3.49 mse_v:3.52 psnr_avg:49.02 psnr_y:46.64 psnr_u:54.76 psnr_v:54.74 
n:9 mse_avg:15.39 mse_y:26.03 mse_u:4.72 mse_v:4.80 psnr_avg:48.32 psnr_y:46.04 psnr_u:53.46 psnr_v:53.39 
n:10 mse_avg:13.42 mse_y:23.50 mse_u:3.31 mse_v:3.36 psnr_avg:48.92 psnr_y:46.49 psnr_u:55.00 psnr_v:54.93 
n:11 mse_avg:13.31 mse_y:23.25 mse_u:3.33 mse_v:3.40 psnr_avg:48.96 psnr_y:46.53 psnr_u:54.97 psnr_v:54.89 
n:12 mse_avg:13.75 mse_y:24.04 mse_u:3.43 mse_v:3.49 psnr_avg:48.81 psnr_y:46.39 psnr_u:54.84 psnr_v:54.77 
n:13 mse_avg:15.67 mse_y:26.46 mse_u:4.83 mse_v:4.93 psnr_avg:48.25 psnr_y:45.97 psnr_u:53.36 psnr_v:53.27 
n:14 mse_avg:20.21 mse_y:36.31 mse_u:4.08 mse_v:4.14 psnr_avg:47.14 psnr_y:44.60 psnr_u:54.09 psnr_v:54.02 
n:15 mse_avg:18.87 mse_y:32.04 mse_u:5.72 mse_v:5.69 psnr_avg:47.44 psnr_y:45.14 psnr_u:52.62 psnr_v:52.65 
n:16 mse_avg:13.96 mse_y:22.17 mse_u:5.76 mse_v:5.74 psnr_avg:48.75 psnr_y:46.74 psnr_u:52.59 psnr_v:52.61 
